Entity,FE_CODE,LongName,Frequency,Period,FE_Data_Group,Data_Type,Source,FE_Publication,FE_Publication_Date,Value
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-03-2012,06-03-2012,2.001269
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-03-2012,06-03-2012,2.328372
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-03-2012,06-03-2012,2.453981
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2013,Historical forecasts,Consensus,FocusEconomics,01-03-2012,06-03-2012,2.119546
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2013,Historical forecasts,Consensus,FocusEconomics,01-03-2012,06-03-2012,2.341735
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2013,Historical forecasts,Consensus,FocusEconomics,01-03-2012,06-03-2012,2.678946
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2013,Historical forecasts,Consensus,FocusEconomics,01-03-2012,06-03-2012,2.867461
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2012,Historical forecasts,Consensus,FocusEconomics,01-04-2012,03-04-2012,2.202109
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-04-2012,03-04-2012,2.381483
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-04-2012,03-04-2012,2.450665
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2013,Historical forecasts,Consensus,FocusEconomics,01-04-2012,03-04-2012,2.150874
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2013,Historical forecasts,Consensus,FocusEconomics,01-04-2012,03-04-2012,2.338306
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2013,Historical forecasts,Consensus,FocusEconomics,01-04-2012,03-04-2012,2.676024
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2013,Historical forecasts,Consensus,FocusEconomics,01-04-2012,03-04-2012,2.895912
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2012,Historical forecasts,Consensus,FocusEconomics,01-09-2012,04-09-2012,2.004798
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-12-2012,Historical forecasts,Consensus,FocusEconomics,01-09-2012,04-09-2012,2.115484
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-03-2013,Historical forecasts,Consensus,FocusEconomics,01-09-2012,04-09-2012,1.636218
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-06-2013,Historical forecasts,Consensus,FocusEconomics,01-09-2012,04-09-2012,2.177561
United States,GDPSAAR,"Economic Growth (GDP, saar %)",Quarterly,01-09-2013,Historical forecasts,Consensus,FocusEconomics,01-09-2012,04-09-2012,2.598828
